Server_ID,Data_Center,Purchase_Date,Decommission_Date,OS,RAM_GB,CPU_Cores,Storage_GB,Availability,Failure_Rate
SRV-40,Dallas,2018-07-24,2022-01-19,Windows Server,244,20,2493,86.06,1.7
SRV-41,Atlanta,2021-04-04,2027-04-14,Windows Server,171,50,2031,56.83,3.01
SRV-42,San Francisco,2018-08-14,2025-03-25,Red Hat,174,64,4674,67.78,0.71
SRV-43,San Francisco,2018-10-21,2023-09-03,Windows Server,28,33,2535,50.67,4.42
SRV-44,New York,2017-01-28,2021-01-24,Ubuntu,35,38,4344,53.3,3.21
SRV-45,Dallas,2020-02-19,2025-09-17,CentOS,101,4,1158,76.34,3.46
SRV-46,New York,2018-07-24,2022-07-22,Windows Server,154,44,870,98.74,3.45
SRV-47,New York,2018-12-05,2022-10-20,CentOS,117,14,4456,89.14,2.11
SRV-48,San Francisco,2021-05-09,2028-03-19,Ubuntu,71,14,1881,89.45,2.34
SRV-49,Atlanta,2016-11-26,2022-06-17,Windows Server,167,48,4399,88.55,1.42
SRV-50,San Francisco,2015-11-01,2020-11-08,Linux,209,50,685,86.85,1.14
SRV-51,Atlanta,2019-10-09,2025-05-20,Windows Server,255,40,1748,57.46,2.4
SRV-52,Dallas,2021-05-10,2028-01-10,Ubuntu,231,52,1997,75.4,1.09
SRV-53,San Francisco,2015-12-04,2022-06-20,Windows Server,227,26,3567,82.07,0.32
SRV-54,Atlanta,2018-12-22,2022-07-11,CentOS,250,46,1313,89.24,4.82
SRV-55,Dallas,2017-01-05,2023-11-14,Red Hat,98,55,1496,79.42,4.69
SRV-56,Dallas,2018-12-07,2022-07-14,Windows Server,248,50,3532,81.18,0.21
SRV-57,Atlanta,2021-09-02,2027-03-01,Red Hat,210,37,1559,59.33,1.36
SRV-58,Atlanta,2019-12-15,2024-08-05,CentOS,145,47,2568,58.64,3.35
SRV-59,Dallas,2021-02-28,2027-11-06,Ubuntu,191,31,1993,91.47,1.63
SRV-60,Dallas,2019-01-18,2023-10-18,Ubuntu,51,38,928,51.31,0.15
SRV-61,Atlanta,2015-06-27,2020-03-22,Red Hat,20,7,4993,95.91,0.46
SRV-62,Dallas,2021-05-21,2027-04-04,Linux,113,59,3943,79.48,2.73
SRV-63,Atlanta,2020-05-01,2025-09-28,Windows Server,29,39,1735,74.64,4.26
SRV-64,Dallas,2016-09-01,2021-10-13,Red Hat,110,56,2211,94.36,3.28
SRV-65,New York,2020-01-28,2025-10-15,Windows Server,96,53,3962,82.4,3.83
SRV-66,New York,2016-09-15,2023-03-23,Linux,121,49,4965,65.01,1.79
SRV-67,Chicago,2016-04-29,2022-12-19,Linux,235,34,3216,99.47,2.76
SRV-68,San Francisco,2018-08-04,2022-01-30,Ubuntu,25,35,678,89.81,4.87
SRV-69,New York,2016-12-03,2023-08-25,Ubuntu,78,16,1454,64.54,2.38
SRV-70,Chicago,2015-04-17,2018-10-14,CentOS,55,23,3075,65.36,3.0
SRV-71,Atlanta,2016-08-26,2022-04-01,Windows Server,18,17,4093,98.18,0.97
SRV-72,San Francisco,2020-12-23,2027-09-20,Linux,121,56,1681,61.79,1.74
SRV-73,Dallas,2017-12-17,2024-06-09,Ubuntu,99,41,996,57.27,1.34
SRV-74,Dallas,2016-04-25,2021-05-16,CentOS,74,38,4075,66.92,1.39
SRV-75,Dallas,2020-06-28,2025-03-08,Ubuntu,94,34,3700,84.74,2.28
SRV-76,Chicago,2017-07-08,2022-03-27,Red Hat,147,7,2737,95.8,0.5
SRV-77,Dallas,2021-07-22,2027-07-01,Red Hat,133,57,3572,53.42,2.36
SRV-78,New York,2018-04-10,2021-09-02,Red Hat,62,37,4346,67.91,0.74
SRV-79,Chicago,2020-06-29,2023-09-15,Red Hat,239,35,4984,80.29,4.64
SRV-80,Chicago,2019-12-27,2026-07-29,Red Hat,88,57,4823,92.91,4.85
SRV-81,Atlanta,2021-07-31,2027-09-25,Linux,118,31,3047,94.14,2.7
SRV-82,New York,2020-04-27,2026-03-30,Ubuntu,26,35,3785,90.4,3.64
SRV-83,New York,2018-07-26,2023-03-29,Red Hat,185,62,4939,73.31,3.79
SRV-84,New York,2015-12-09,2020-01-03,CentOS,138,9,4070,86.54,4.2
SRV-85,New York,2016-02-10,2021-09-30,CentOS,92,25,3647,54.58,1.47
SRV-86,Dallas,2015-11-16,2019-08-31,Ubuntu,195,59,3880,55.71,2.22
SRV-87,Atlanta,2017-10-11,2021-08-22,Windows Server,255,14,1133,90.21,3.07
SRV-88,New York,2020-06-29,2026-11-21,Red Hat,40,41,3769,60.48,3.05
SRV-89,San Francisco,2019-04-26,2025-01-03,Linux,204,32,4191,88.44,3.79
SRV-90,San Francisco,2021-05-18,2024-11-19,Windows Server,125,17,3032,83.28,0.43
SRV-91,San Francisco,2015-11-03,2022-09-04,Windows Server,190,53,2052,81.41,3.79
SRV-92,New York,2021-07-23,2025-01-18,CentOS,183,21,2738,63.05,3.07
SRV-93,Atlanta,2016-05-16,2021-08-13,Red Hat,199,18,1032,95.67,2.0
SRV-94,Chicago,2015-04-18,2019-02-05,Red Hat,154,40,3802,96.36,0.94
SRV-95,San Francisco,2021-04-22,2027-12-14,Ubuntu,156,40,790,77.44,1.91
SRV-96,Chicago,2015-06-10,2020-07-29,CentOS,82,60,2881,65.24,4.44
SRV-97,Dallas,2020-11-03,2026-09-17,Red Hat,135,45,830,89.14,4.88
SRV-98,Chicago,2019-04-13,2022-08-03,CentOS,144,20,922,96.71,1.69
SRV-99,Dallas,2018-03-22,2024-03-31,Red Hat,219,10,2602,85.94,0.44
SRV-100,Dallas,2017-08-14,2020-12-08,CentOS,176,42,2640,53.22,2.12
SRV-101,Dallas,2020-10-17,2024-01-05,Ubuntu,111,51,1012,86.5,4.5
SRV-102,Atlanta,2019-07-19,2024-08-19,CentOS,89,40,1828,76.96,0.19
SRV-103,New York,2015-05-21,2019-06-13,Ubuntu,234,51,979,77.53,4.34
SRV-104,San Francisco,2019-09-22,2025-05-23,Ubuntu,115,12,1586,79.69,2.09
SRV-105,Atlanta,2015-06-27,2019-08-31,Red Hat,140,16,774,81.62,3.15
SRV-106,Atlanta,2017-09-15,2022-06-05,Windows Server,222,44,4670,63.02,4.29
SRV-107,Dallas,2021-07-16,2028-03-05,Windows Server,122,51,1947,93.06,1.01
SRV-108,San Francisco,2021-10-05,2025-03-14,CentOS,147,30,4542,97.5,3.68
SRV-109,Dallas,2021-05-16,2028-04-17,Ubuntu,222,51,4023,90.42,0.39
SRV-110,Chicago,2016-02-05,2021-08-14,Ubuntu,158,37,2476,95.82,4.41
SRV-111,New York,2019-03-14,2023-11-10,CentOS,79,37,4653,71.8,3.61
SRV-112,Atlanta,2016-11-03,2021-06-11,Red Hat,122,60,4617,87.9,3.59
SRV-113,New York,2019-03-19,2023-09-01,Windows Server,180,42,2362,74.72,3.71
SRV-114,New York,2018-04-14,2024-03-27,Linux,54,59,1259,80.46,3.54
SRV-115,Atlanta,2018-11-08,2022-01-04,CentOS,88,53,1664,58.54,2.38
SRV-116,New York,2015-12-08,2022-05-24,Red Hat,158,22,635,72.0,1.47
SRV-117,San Francisco,2018-02-05,2022-03-05,Linux,131,15,4061,85.73,4.37
SRV-118,Dallas,2016-02-28,2021-04-10,Red Hat,220,29,3657,99.78,3.51
SRV-119,San Francisco,2016-01-27,2020-06-12,CentOS,137,34,4292,51.55,3.66
SRV-120,Atlanta,2016-09-19,2023-02-11,Linux,149,60,3064,87.07,4.78
SRV-121,Chicago,2015-02-13,2018-08-02,Ubuntu,133,16,3622,60.64,4.33
SRV-122,Atlanta,2016-05-14,2023-03-24,Red Hat,176,36,1609,96.82,3.67
SRV-123,Dallas,2019-01-20,2025-12-24,CentOS,101,32,2735,83.03,3.47
SRV-124,Atlanta,2015-08-08,2021-10-18,CentOS,60,54,4285,82.85,4.26
SRV-125,New York,2017-07-13,2021-08-03,CentOS,61,43,2760,99.78,4.75
SRV-126,Atlanta,2020-06-26,2024-08-19,Red Hat,17,23,2160,62.23,1.81
SRV-127,Dallas,2018-07-09,2023-01-27,Linux,148,45,627,74.08,0.4
SRV-128,Dallas,2018-01-29,2021-04-09,Windows Server,107,10,503,53.87,1.53
SRV-129,San Francisco,2021-10-26,2028-06-22,Windows Server,25,59,1950,77.93,2.67
SRV-130,Atlanta,2015-01-12,2018-06-09,Red Hat,232,50,924,86.17,4.22
SRV-131,San Francisco,2019-12-29,2023-06-01,Ubuntu,104,15,4327,50.4,1.15
SRV-132,Chicago,2015-11-11,2020-01-02,Ubuntu,198,5,2916,66.61,0.75
SRV-133,Atlanta,2018-08-11,2025-03-19,Red Hat,74,25,3525,57.15,3.81
SRV-134,Chicago,2016-12-13,2023-10-24,Ubuntu,124,59,2288,94.04,3.99
SRV-135,Atlanta,2015-03-21,2020-12-05,Linux,44,57,4476,67.34,0.91
SRV-136,San Francisco,2020-02-14,2025-05-08,CentOS,159,26,3105,74.65,3.48
SRV-137,New York,2018-07-21,2025-01-23,Ubuntu,165,59,993,62.03,0.57
SRV-138,Dallas,2020-02-11,2026-04-17,Windows Server,174,51,1442,78.4,3.72
SRV-139,Atlanta,2020-11-21,2024-04-07,Linux,37,14,3573,65.54,3.18
SRV-140,Dallas,2016-05-19,2023-01-08,Red Hat,113,51,2455,63.94,3.73
SRV-141,Dallas,2015-11-25,2020-11-21,Linux,184,23,783,73.36,4.91
SRV-142,Atlanta,2015-10-08,2020-11-06,Red Hat,30,48,2937,76.82,0.67
SRV-143,Dallas,2015-02-17,2018-09-08,Red Hat,219,57,860,95.4,3.79
SRV-144,San Francisco,2019-02-20,2025-12-25,Windows Server,96,39,4120,76.45,4.63
SRV-145,San Francisco,2020-06-24,2023-08-28,Red Hat,90,25,2568,51.57,0.77
SRV-146,Dallas,2015-01-24,2019-05-29,Linux,27,23,4776,54.38,0.49
SRV-147,San Francisco,2017-12-02,2024-10-05,Windows Server,221,22,3161,52.61,3.03
SRV-148,Atlanta,2018-02-15,2021-03-31,Linux,68,44,599,57.96,0.31
SRV-149,San Francisco,2021-11-02,2025-04-06,Ubuntu,42,40,827,89.19,2.33
SRV-150,Atlanta,2017-10-31,2024-07-22,CentOS,167,47,1094,96.63,1.23
SRV-151,New York,2019-09-07,2024-03-17,Linux,228,38,4264,52.79,2.91
SRV-152,Dallas,2020-01-05,2024-04-23,Ubuntu,135,28,4055,50.03,0.84
SRV-153,San Francisco,2020-01-09,2024-05-11,Ubuntu,52,10,1254,51.47,3.48
SRV-154,Dallas,2017-07-06,2021-10-08,Windows Server,163,33,1844,72.37,0.94
SRV-155,New York,2017-12-29,2021-06-28,Ubuntu,34,55,2347,64.84,0.96
SRV-156,Dallas,2021-02-15,2024-09-07,Windows Server,188,4,1809,73.23,0.07
SRV-157,Dallas,2015-06-08,2021-03-28,Red Hat,219,17,900,94.78,2.11
SRV-158,Atlanta,2021-10-03,2025-09-07,Red Hat,82,61,4014,92.08,0.43
SRV-159,Atlanta,2020-10-17,2024-10-23,Windows Server,237,37,3624,66.22,3.36
SRV-160,San Francisco,2015-03-25,2022-02-28,Windows Server,212,54,878,51.48,0.61
SRV-161,Atlanta,2019-08-10,2024-07-17,CentOS,157,21,1358,78.35,0.89
SRV-162,New York,2015-10-09,2022-07-28,Ubuntu,82,38,1312,87.35,4.02
SRV-163,Chicago,2015-12-21,2022-03-29,CentOS,78,43,2888,78.46,1.82
SRV-164,New York,2019-02-19,2024-12-03,Linux,116,12,2323,59.76,0.86
SRV-165,Atlanta,2020-05-02,2023-09-17,Linux,204,25,1923,66.85,1.39
SRV-166,New York,2018-06-03,2023-09-20,Ubuntu,86,37,3214,96.0,1.89
SRV-167,New York,2016-11-18,2021-05-20,Linux,165,34,2336,50.29,4.83
SRV-168,Dallas,2019-05-27,2025-10-17,Linux,28,53,4406,85.52,3.97
SRV-169,Atlanta,2017-07-09,2020-07-28,Linux,36,17,3378,75.14,2.75
SRV-170,Dallas,2015-09-16,2019-08-23,Ubuntu,23,62,2683,92.71,1.43
SRV-171,San Francisco,2019-01-08,2024-01-27,CentOS,130,39,1807,85.2,2.66
SRV-172,San Francisco,2017-04-06,2022-11-05,Windows Server,233,61,606,53.72,0.61
SRV-173,New York,2021-10-01,2027-02-10,CentOS,78,21,4245,63.31,3.07
SRV-174,Chicago,2021-03-05,2026-11-11,Windows Server,169,5,1663,86.48,1.2
SRV-175,Dallas,2021-09-13,2025-12-24,Windows Server,211,29,962,85.25,2.8
SRV-176,Atlanta,2017-06-01,2023-01-19,Linux,26,27,980,65.71,0.03
SRV-177,New York,2017-02-16,2021-10-10,CentOS,89,17,3938,72.1,3.89
SRV-178,Chicago,2020-06-06,2026-05-29,Red Hat,228,29,867,50.16,3.04
SRV-179,Chicago,2019-01-25,2024-11-24,Ubuntu,179,40,1475,85.34,4.3
SRV-180,Chicago,2018-12-01,2025-05-12,Ubuntu,153,20,2437,93.77,4.8
SRV-181,New York,2020-05-18,2023-08-18,Linux,180,9,2179,56.06,3.36
SRV-182,Chicago,2016-11-13,2020-03-11,Linux,205,41,1385,75.48,1.23
SRV-183,Chicago,2015-02-10,2021-10-26,Red Hat,33,41,1982,53.88,2.39
SRV-184,San Francisco,2018-07-16,2022-01-19,Windows Server,98,55,2693,75.67,3.36
SRV-185,New York,2016-09-19,2022-06-07,Red Hat,41,26,4274,77.57,4.12
SRV-186,Dallas,2015-02-24,2022-02-04,Red Hat,134,22,4026,86.82,2.34
SRV-187,Atlanta,2016-07-25,2021-10-20,CentOS,243,40,2307,64.29,4.35
SRV-188,San Francisco,2016-07-22,2021-01-16,Linux,149,30,1540,89.43,1.28
SRV-189,Chicago,2020-02-14,2026-07-15,CentOS,202,50,3031,53.19,4.81
SRV-190,Dallas,2016-02-13,2020-12-21,CentOS,226,51,2259,86.98,0.43
SRV-191,Dallas,2017-11-10,2021-04-10,CentOS,83,55,775,74.52,2.27
SRV-192,Atlanta,2015-04-07,2020-12-06,CentOS,157,9,2558,81.47,1.7
SRV-193,Chicago,2016-02-07,2022-06-24,CentOS,71,42,4765,92.61,4.42
SRV-194,Dallas,2015-09-16,2019-12-11,Red Hat,100,33,4819,62.69,4.17
SRV-195,Atlanta,2020-05-20,2024-05-07,Windows Server,178,54,2369,66.18,4.29
SRV-196,Atlanta,2019-10-11,2025-07-27,Red Hat,119,61,3969,79.47,1.1
SRV-197,San Francisco,2020-03-10,2025-08-21,CentOS,83,11,1816,87.26,1.27
SRV-198,San Francisco,2018-06-01,2022-09-23,Ubuntu,161,44,1884,63.16,2.71
SRV-199,New York,2019-10-18,2026-01-25,Ubuntu,110,58,4997,51.65,2.65
SRV-200,Dallas,2019-11-15,2024-10-18,Ubuntu,217,46,4032,90.73,3.99
SRV-201,San Francisco,2021-02-03,2026-01-14,CentOS,235,62,4650,61.1,0.13
SRV-202,Atlanta,2020-01-29,2023-11-26,Linux,176,59,2880,99.14,3.26
SRV-203,San Francisco,2016-10-31,2020-12-09,Linux,83,58,2882,52.84,2.45
SRV-204,San Francisco,2019-08-21,2023-05-05,Linux,181,32,3246,80.31,4.96
SRV-205,Dallas,2018-03-06,2022-09-04,Linux,132,29,1342,78.89,4.49
SRV-206,Atlanta,2019-08-07,2023-05-23,Linux,20,32,4488,75.33,0.23
SRV-207,New York,2015-05-11,2022-03-27,Ubuntu,129,56,1817,69.7,3.29
SRV-208,Dallas,2016-12-06,2021-11-06,Ubuntu,206,13,1723,65.49,0.73
SRV-209,Dallas,2018-03-06,2024-12-17,Windows Server,69,63,1611,66.98,3.06
SRV-210,Chicago,2015-07-27,2018-10-10,Linux,256,63,2158,68.51,2.0
SRV-211,Dallas,2020-06-26,2026-03-06,Windows Server,52,40,938,50.42,4.79
SRV-212,Chicago,2015-08-02,2019-03-28,Linux,19,12,2611,57.98,3.26
SRV-213,New York,2021-06-12,2025-05-29,Windows Server,123,40,2307,74.53,2.15
SRV-214,Chicago,2016-08-15,2023-07-16,Windows Server,184,17,3584,52.56,1.09
SRV-215,San Francisco,2021-07-28,2026-09-25,Linux,165,44,1714,76.02,2.32
SRV-216,San Francisco,2015-05-25,2021-06-21,Linux,22,14,2461,81.72,1.27
SRV-217,New York,2016-11-23,2020-06-02,Linux,108,6,2998,68.79,4.02
SRV-218,Dallas,2019-07-26,2023-04-25,Ubuntu,220,38,2589,96.82,1.36
SRV-219,San Francisco,2015-03-22,2021-04-18,Ubuntu,190,17,3915,82.5,4.33
SRV-220,New York,2016-07-24,2021-01-01,Windows Server,187,28,1643,64.18,3.76
SRV-221,San Francisco,2015-10-25,2022-08-03,Linux,186,30,1254,80.89,2.07
SRV-222,Dallas,2015-01-25,2020-11-22,CentOS,52,15,2888,90.35,4.61
SRV-223,Dallas,2016-04-24,2022-11-16,Ubuntu,256,58,4868,95.48,4.51
SRV-224,Dallas,2015-01-28,2020-03-30,Linux,247,43,2467,72.67,1.34
SRV-225,San Francisco,2021-11-11,2028-01-06,Red Hat,136,36,1519,79.98,3.86
SRV-226,New York,2018-08-24,2023-05-26,Windows Server,58,61,869,66.86,4.78
SRV-227,New York,2017-07-24,2022-07-11,Ubuntu,44,23,2052,75.13,2.17
SRV-228,Chicago,2018-10-31,2023-11-26,Windows Server,40,31,1321,64.18,0.78
SRV-229,Chicago,2018-04-27,2021-08-21,Red Hat,60,55,2158,66.6,1.63
SRV-230,Dallas,2019-08-06,2023-04-22,Red Hat,85,52,3857,57.53,1.21
SRV-231,New York,2021-08-05,2025-04-01,Ubuntu,179,64,3399,78.1,0.64
SRV-232,Atlanta,2018-08-12,2022-12-22,Red Hat,77,62,3265,72.58,2.75
SRV-233,New York,2018-04-16,2024-09-09,Red Hat,75,23,3353,62.98,0.17
SRV-234,Chicago,2016-08-10,2023-06-25,Windows Server,172,61,1721,76.97,1.72
SRV-235,Dallas,2016-06-06,2021-10-19,Windows Server,132,24,1263,85.24,1.22
SRV-236,New York,2017-07-01,2022-09-15,Red Hat,21,9,4681,58.04,3.67
SRV-237,San Francisco,2019-11-23,2025-02-03,Windows Server,117,59,3299,97.06,4.11
SRV-238,San Francisco,2018-10-24,2024-05-14,Ubuntu,103,6,740,55.7,0.74
SRV-239,Dallas,2020-11-19,2024-09-14,Ubuntu,77,34,3869,59.39,3.72
SRV-240,San Francisco,2016-04-11,2023-03-12,Windows Server,26,16,1046,89.3,4.71
SRV-241,Chicago,2017-06-21,2022-06-08,Linux,213,27,4254,77.6,3.2
SRV-242,Chicago,2020-06-22,2025-04-18,CentOS,162,24,2078,85.03,0.63
SRV-243,New York,2017-11-07,2020-11-30,Windows Server,179,38,1976,70.91,0.96
SRV-244,Chicago,2018-03-29,2023-03-29,Windows Server,46,17,4225,57.55,4.29
SRV-245,Atlanta,2015-01-14,2018-12-26,Ubuntu,154,63,631,62.48,2.51
SRV-246,New York,2018-04-08,2024-03-16,Red Hat,245,63,2946,53.3,4.07
SRV-247,Chicago,2018-06-18,2022-04-04,Linux,177,60,4413,68.27,4.37
SRV-248,San Francisco,2019-04-27,2024-10-09,Windows Server,188,43,2477,94.82,0.53
SRV-249,San Francisco,2021-08-22,2025-08-21,Linux,122,41,990,60.46,2.85
SRV-250,San Francisco,2021-09-18,2026-01-12,Red Hat,59,54,2594,82.08,2.31
SRV-251,New York,2020-02-27,2023-10-19,CentOS,33,8,4462,54.55,2.18
SRV-252,Dallas,2018-08-03,2022-09-01,Ubuntu,54,20,2706,76.06,2.11
SRV-253,Atlanta,2020-05-28,2025-03-27,Windows Server,162,48,4540,52.93,2.64
SRV-254,Atlanta,2020-01-26,2026-12-15,CentOS,234,26,2832,96.62,0.35
SRV-255,Dallas,2018-01-05,2022-10-27,CentOS,245,25,4692,97.6,4.05
SRV-256,San Francisco,2017-03-06,2021-07-18,CentOS,174,19,4799,66.98,1.5
SRV-257,Atlanta,2021-02-02,2027-05-29,CentOS,255,39,619,67.17,0.81
SRV-258,San Francisco,2021-09-15,2025-06-08,CentOS,178,62,3563,57.97,3.66
SRV-259,Chicago,2018-11-22,2023-06-10,Windows Server,126,24,1773,68.89,0.94
SRV-260,San Francisco,2021-11-08,2027-02-25,Red Hat,253,28,1057,91.61,4.03
SRV-261,San Francisco,2016-06-03,2019-08-21,Red Hat,66,51,2602,90.87,2.37
SRV-262,New York,2018-05-05,2024-11-13,Ubuntu,241,50,3224,60.74,3.35
SRV-263,San Francisco,2017-09-05,2020-12-27,Windows Server,181,49,2619,66.25,3.23
SRV-264,Chicago,2016-04-12,2023-03-27,CentOS,193,10,3731,60.89,2.74
SRV-265,Dallas,2018-10-05,2023-07-14,Ubuntu,34,64,888,89.27,1.82
SRV-266,New York,2017-06-01,2022-07-13,CentOS,166,35,4696,71.44,0.6
SRV-267,Dallas,2015-05-28,2018-10-09,Red Hat,134,45,4171,91.17,1.39
SRV-268,Dallas,2020-04-11,2024-01-08,Linux,119,21,2692,68.31,0.6
SRV-269,Chicago,2015-03-21,2020-07-13,Windows Server,59,23,1491,82.57,2.44
SRV-270,Chicago,2017-11-24,2021-09-06,Ubuntu,132,23,2175,89.17,3.34
SRV-271,Chicago,2015-04-03,2019-11-15,Linux,31,46,2235,73.14,4.1
SRV-272,Dallas,2015-04-15,2018-12-23,Red Hat,231,53,2433,94.51,3.2
SRV-273,Chicago,2017-06-20,2022-08-08,Ubuntu,151,23,2898,99.45,2.9
SRV-274,San Francisco,2015-06-02,2020-07-01,Ubuntu,101,30,3559,62.49,0.31
SRV-275,New York,2018-01-11,2025-01-09,Linux,199,49,2446,54.02,1.81
SRV-276,Chicago,2018-09-01,2021-11-29,CentOS,65,60,2606,71.87,2.55
SRV-277,Chicago,2019-08-15,2025-12-14,CentOS,119,23,3083,72.58,1.27
SRV-278,New York,2017-06-30,2021-09-02,CentOS,185,55,2730,90.34,3.68
SRV-279,Atlanta,2019-04-21,2023-10-23,Linux,200,23,2437,86.63,0.23
SRV-280,San Francisco,2020-09-16,2026-09-28,Ubuntu,74,14,4782,73.45,3.52
SRV-281,Atlanta,2020-07-19,2023-09-25,CentOS,239,34,1860,96.94,4.06
SRV-282,Chicago,2019-04-25,2022-09-25,Linux,59,19,3531,73.64,3.91
SRV-283,San Francisco,2021-10-19,2026-05-11,Ubuntu,199,34,2143,76.51,2.88
SRV-284,Dallas,2015-01-06,2021-05-29,Linux,208,39,1275,75.26,2.63
SRV-285,Dallas,2016-06-15,2020-01-18,Linux,35,38,3154,64.64,2.23
SRV-286,Atlanta,2020-06-11,2026-04-27,Ubuntu,129,29,4519,83.83,3.76
SRV-287,New York,2015-09-03,2019-12-31,Ubuntu,70,21,3854,80.39,1.11
SRV-288,Atlanta,2018-04-09,2022-09-10,Red Hat,52,14,2823,89.92,3.62
SRV-289,Chicago,2016-12-07,2020-08-10,Linux,136,45,2904,89.3,1.94
SRV-290,San Francisco,2015-11-30,2021-03-09,CentOS,135,15,1684,75.66,0.03
SRV-291,San Francisco,2018-08-24,2024-03-22,Windows Server,73,49,3152,59.78,2.74
SRV-292,Chicago,2020-12-05,2027-11-10,Linux,217,11,822,69.74,2.97
SRV-293,Dallas,2016-10-28,2023-04-24,Windows Server,179,37,3183,71.59,0.62
SRV-294,San Francisco,2015-10-09,2022-06-23,Ubuntu,134,28,2639,90.2,2.81
SRV-295,San Francisco,2019-11-23,2025-12-24,Ubuntu,77,21,4896,95.7,4.83
SRV-296,San Francisco,2016-07-19,2019-08-25,Ubuntu,100,51,4299,82.49,2.41
SRV-297,San Francisco,2018-02-06,2022-07-27,CentOS,116,31,877,87.55,1.75
SRV-298,Atlanta,2015-04-30,2018-08-31,CentOS,255,26,1819,96.26,2.9
SRV-299,San Francisco,2019-05-06,2026-03-15,Red Hat,161,40,3718,80.52,4.29
SRV-300,Atlanta,2019-11-29,2023-06-11,Windows Server,213,22,3386,68.89,3.39
SRV-301,Dallas,2020-08-26,2024-10-30,Linux,49,49,2045,86.61,2.04
SRV-302,Chicago,2019-09-25,2025-12-29,Windows Server,111,36,4710,85.14,0.73
SRV-303,Dallas,2017-08-06,2023-02-05,Windows Server,251,43,1721,79.2,2.36
SRV-304,Dallas,2017-08-27,2020-11-17,Ubuntu,183,10,2211,84.41,2.77
